Cafe Name,Outdoor Seating,Indoor Seating,Latitude,Longitude,Orientation,Date,Day of Year,Time of Day,Sunrise Time,Sunset Time,Solar Angle (°),Temperature (°C),Humidity (%),Cloud Cover (%),Sunshine Duration (min),Wind Speed (km/h),Weather Condition,Is Cloudy,Sunlight Status
Choco Roasters,Yes,Yes,49.38685,8.680242,East,2024-01-06,6,16:00,04:02,22:27,0.0,12.8,81,0,56,10.6,Rain,No,Sunny
Hazel Coffee,Yes,No,49.41085,8.670101,West,2025-01-08,8,13:15,04:03,22:26,0.0,16.6,55,76,0,9.6,Rain,Yes,Sunny
Choco Café,Yes,No,49.399965,8.681453,North,2024-10-06,280,19:45,04:42,21:47,6.91,19.6,53,79,0,7.3,Cloudy,Yes,Sunny
Vine Espresso,Yes,No,49.397883,8.675848,East,2024-09-17,261,14:00,05:02,21:27,2.01,17.6,57,35,15,2.8,Clear,No,Sunny
Loft Brew House,No,No,49.396698,8.677751,South,2025-05-19,139,20:15,05:50,20:39,0.0,7.8,81,73,0,10.2,Cloudy,Yes,Sunny
Indigo Coffee,Yes,No,49.398366,8.673192,West,2023-06-25,176,13:45,05:59,20:30,86.64,19.6,57,82,0,6.5,Rain,Yes,Sunny
Atelier Café,Yes,Yes,49.399237,8.672601,West,2025-03-03,62,17:30,04:40,21:49,0.0,12.0,85,19,45,10.0,Rain,No,Sunny
Berlin Beans,No,Yes,49.394298,8.68214,North,2024-04-12,103,07:30,05:22,21:07,8.98,8.7,74,38,27,9.6,Clear,No,Sunny
Studio Coffee,Yes,Yes,49.399386,8.670958,North,2025-02-21,52,20:15,04:31,21:58,20.86,13.0,83,70,0,1.9,Clear,Yes,Sunny
Cafe de Fog,No,Yes,49.397525,8.668466,South,2023-08-26,238,09:30,05:25,21:04,26.05,13.7,65,2,55,15.0,Clear,No,Sunny
Zurich Coffee,Yes,Yes,49.396254,8.681937,North,2024-08-15,228,15:00,05:34,20:55,35.61,18.6,65,87,0,12.4,Clear,Yes,Sunny
Cafe Fern,Yes,No,49.391326,8.675108,South,2023-08-21,233,06:00,05:29,21:00,0.0,7.0,87,60,0,2.5,Rain,Yes,Sunny
Choco Coffee,Yes,Yes,49.404378,8.671693,West,2025-03-17,76,13:00,04:55,21:34,0.0,16.6,73,8,54,8.5,Clear,No,Sunny
Brass Coffee,No,No,49.404928,8.670834,North,2023-06-23,174,20:45,05:59,20:30,0.0,6.8,63,72,0,11.0,Cloudy,Yes,Sunny
Bay Espresso,No,Yes,49.389624,8.666069,East,2023-09-23,266,07:15,04:57,21:32,0.0,12.8,59,61,0,12.8,Cloudy,Yes,Sunny
Cafe de Choco,No,No,49.401659,8.669913,South,2024-03-24,84,10:15,05:03,21:26,5.36,18.4,72,72,0,5.4,Clear,Yes,Sunny
The Porch Cafe,No,No,49.401567,8.676561,West,2023-06-10,161,09:30,05:58,20:31,62.65,11.2,81,2,61,13.5,Rain,No,Sunny
Fog Espresso,Yes,Yes,49.391999,8.673838,South,2024-01-27,27,15:00,04:12,22:17,0.0,11.0,51,6,52,3.5,Clear,No,Sunny
Cafe de Espresso,No,No,49.404903,8.66908,South,2024-06-22,174,12:00,05:59,20:30,89.9,15.0,76,60,0,9.9,Clear,Yes,Sunny
Aurora Café,No,Yes,49.401585,8.667896,West,2023-10-10,283,08:15,04:39,21:50,0.0,20.5,81,86,0,1.9,Clear,Yes,Sunny
Corner Espresso,No,No,49.399608,8.674393,South,2024-07-06,188,19:15,05:57,20:32,0.0,19.1,66,30,23,7.8,Cloudy,No,Sunny
Café Onyx,Yes,Yes,49.393362,8.669586,South,2024-10-29,303,10:00,04:22,22:07,0.0,13.7,89,48,3,1.6,Rain,No,Sunny
Cafe de Den,No,No,49.399314,8.672467,North,2024-03-01,61,09:45,04:39,21:50,0.0,10.3,55,12,46,3.1,Clear,No,Shady
Hearth Roasters,No,No,49.405333,8.668001,South,2025-04-08,98,19:30,05:17,21:12,0.0,18.2,76,95,0,11.5,Fog,Yes,Sunny
Cafe Twilight,No,Yes,49.392454,8.664827,South,2024-12-04,339,11:15,04:02,22:27,0.0,27.0,82,97,0,7.3,Clear,Yes,Sunny
Sun Brew House,Yes,No,49.396286,8.670364,West,2025-03-11,70,17:15,04:48,21:41,0.0,11.3,40,46,5,1.3,Rain,No,Sunny
The Harbor Cafe,Yes,Yes,49.395565,8.680094,South,2025-02-04,35,19:30,04:17,22:12,16.29,18.4,87,75,0,6.8,Clear,Yes,Shady
Café Silk,Yes,Yes,49.401042,8.673551,North,2024-01-07,7,19:45,04:02,22:27,22.15,5.1,78,21,44,8.9,Rain,No,Sunny
Soho Café,Yes,No,49.401732,8.679003,West,2024-11-15,320,13:45,04:10,22:19,0.0,19.1,78,96,0,7.2,Rain,Yes,Sunny
River Beans,No,No,49.397664,8.670209,East,2024-05-05,126,20:15,05:42,20:47,0.0,13.5,75,66,0,6.6,Clear,Yes,Sunny
Caramel Café,No,Yes,49.409675,8.673703,East,2024-03-05,65,19:45,04:43,21:46,5.95,16.2,74,55,8,12.0,Clear,Yes,Sunny
Den Espresso,No,Yes,49.396142,8.669829,South,2024-07-09,191,17:30,05:56,20:33,21.96,15.0,43,23,32,2.9,Clear,No,Shady
Espresso Beans,Yes,No,49.408276,8.666529,South,2025-03-05,64,16:45,04:42,21:47,0.0,8.2,86,88,0,14.5,Rain,Yes,Sunny
Zephyr Brew House,Yes,No,49.402595,8.670091,West,2023-08-11,223,09:45,05:38,20:51,40.01,6.4,43,40,17,6.5,Rain,No,Sunny
Cafe de Fern,Yes,Yes,49.405037,8.674598,West,2024-11-23,328,13:45,04:06,22:23,0.0,20.7,47,74,0,12.3,Clear,Yes,Sunny
Café Cinnamon,Yes,Yes,49.403242,8.675979,North,2023-12-08,342,20:00,04:01,22:28,44.08,11.1,64,64,0,7.1,Clear,Yes,Shady
Cafe Hollow,No,No,49.404144,8.672663,West,2024-01-05,5,07:45,04:02,22:27,0.0,9.0,87,46,22,10.3,Clear,No,Sunny
Haze Roasters,No,Yes,49.401511,8.668417,North,2024-02-18,49,17:00,04:28,22:01,0.0,18.8,80,100,0,0.1,Clear,Yes,Sunny
Velvet Espresso,No,Yes,49.397574,8.670681,North,2023-11-24,328,12:00,04:06,22:23,0.0,23.3,56,46,7,6.0,Clear,No,Sunny
Corner Roasters,Yes,No,49.392516,8.668622,West,2024-06-14,166,20:30,05:59,20:30,0.0,11.9,73,72,0,10.5,Cloudy,Yes,Sunny
Frame Roasters,No,Yes,49.402182,8.674907,West,2024-05-15,136,11:30,05:48,20:41,71.41,19.3,64,64,0,13.5,Clear,Yes,Shady
Meadow Café,No,No,49.398553,8.676266,South,2024-10-23,297,08:30,04:27,22:02,0.0,8.7,43,84,0,12.2,Cloudy,Yes,Sunny
Cafe de Elm,No,Yes,49.40507,8.665712,West,2023-10-19,292,06:30,04:31,21:58,0.0,18.5,61,15,37,6.4,Rain,No,Sunny
Cafe de Cabin,No,No,49.394164,8.678094,South,2025-03-14,73,11:15,04:52,21:37,0.0,20.2,70,23,37,12.3,Rain,No,Sunny
Berg Café,No,No,49.39918,8.66883,North,2024-05-22,143,14:00,05:52,20:37,68.91,21.8,84,59,2,8.1,Clear,Yes,Sunny
Flint Café,Yes,Yes,49.398676,8.673466,West,2024-12-07,342,13:00,04:01,22:28,0.0,12.1,60,91,0,8.1,Clear,Yes,Sunny
Cafe Maple,No,Yes,49.404753,8.672599,North,2023-11-12,316,19:00,04:12,22:17,18.55,18.2,86,81,0,10.4,Rain,Yes,Sunny
The Studio Cafe,Yes,Yes,49.396542,8.673402,North,2025-02-10,41,15:15,04:22,22:07,0.0,24.6,56,66,0,5.8,Fog,Yes,Sunny
Cafe de Drift,No,No,49.406988,8.6607,West,2023-08-22,234,20:30,05:28,21:01,0.0,18.0,71,53,10,9.5,Clear,Yes,Sunny
Cafe Alba,No,No,49.401155,8.681996,South,2024-02-28,59,07:15,04:38,21:51,0.0,16.7,90,27,38,4.6,Clear,No,Shady
Coral Café,No,Yes,49.393794,8.670697,East,2024-07-21,203,18:45,05:51,20:38,0.0,8.4,73,12,49,5.4,Clear,No,Sunny
Coral Café,Yes,Yes,49.401262,8.673266,South,2025-04-16,106,15:00,05:25,21:04,27.54,15.7,44,65,0,3.3,Clear,Yes,Sunny
Hazel Roasters,Yes,Yes,49.406482,8.673928,South,2024-02-20,51,17:45,04:30,21:59,0.0,11.7,70,11,49,12.0,Clear,No,Sunny
Grind Coffee,Yes,No,49.402427,8.674693,East,2024-10-18,292,18:45,04:31,21:58,0.0,7.8,61,62,3,8.4,Clear,Yes,Shady
Cafe Berg,No,No,49.396726,8.669096,East,2024-12-02,337,09:15,04:02,22:27,0.0,12.1,40,17,46,9.2,Fog,No,Shady
Cafe de Marble,No,Yes,49.391961,8.673821,East,2025-01-22,22,16:30,04:09,22:20,0.0,19.0,88,14,42,8.4,Clear,No,Sunny
Nova Brew House,No,Yes,49.400941,8.668641,North,2025-04-07,97,09:15,05:16,21:13,18.36,15.8,43,52,11,11.7,Rain,Yes,Shady
Heidel Brew House,No,No,49.396785,8.673754,East,2024-08-01,214,19:30,05:44,20:45,0.0,19.2,42,90,0,13.7,Rain,Yes,Sunny
The Depot Cafe,Yes,No,49.396443,8.680307,North,2025-05-27,147,14:45,05:54,20:35,71.25,21.9,71,14,51,7.5,Clear,No,Sunny
Petal Beans,Yes,Yes,49.407067,8.6751,South,2024-04-24,115,09:00,05:33,20:56,36.06,11.0,68,56,4,2.8,Clear,Yes,Shady
Café Choco,No,No,49.397234,8.667814,East,2023-10-05,278,08:15,04:44,21:45,0.0,18.0,67,57,11,6.1,Clear,Yes,Shady
Hearth Espresso,Yes,No,49.397115,8.674585,West,2025-03-22,81,15:15,05:00,21:29,1.1,12.6,52,77,0,13.5,Cloudy,Yes,Sunny
Cafe de Espresso,Yes,No,49.398831,8.675004,South,2024-10-27,301,18:30,04:23,22:06,0.0,12.3,54,49,6,14.3,Clear,No,Sunny
Brook Espresso,No,Yes,49.400394,8.678696,West,2024-09-26,270,11:15,04:53,21:36,0.0,18.8,79,23,33,14.5,Clear,No,Sunny
Muse Roasters,No,Yes,49.395376,8.676461,East,2024-11-10,315,06:45,04:13,22:16,0.0,14.8,88,70,0,13.0,Rain,Yes,Sunny
The Luna Cafe,Yes,No,49.401682,8.674984,North,2024-11-24,329,06:30,04:05,22:24,0.0,13.0,67,10,42,11.2,Rain,No,Shady
Cafe Caramel,No,Yes,49.393531,8.671219,West,2024-10-27,301,19:15,04:23,22:06,14.33,14.8,64,26,40,8.8,Clear,No,Sunny
Café Nest,Yes,Yes,49.393534,8.674976,North,2023-12-22,356,12:45,04:00,22:29,0.0,27.3,68,57,3,8.1,Rain,Yes,Sunny
Twilight Beans,No,No,49.393663,8.673206,North,2024-07-25,207,09:30,05:49,20:40,51.96,13.6,48,38,21,3.9,Fog,No,Shady
Café Rossi,No,Yes,49.400458,8.664863,East,2023-08-31,243,12:30,05:20,21:09,29.65,16.5,40,46,18,11.4,Cloudy,No,Sunny
Hill Roasters,Yes,No,49.39543,8.674941,East,2025-01-28,28,19:15,04:12,22:17,18.18,9.8,40,89,0,1.7,Clear,Yes,Sunny
Bloom Brew House,No,Yes,49.402406,8.671196,South,2023-05-31,151,13:00,05:56,20:33,81.7,16.7,66,22,32,8.6,Rain,No,Sunny
Cafe Amber,No,Yes,49.390404,8.676661,West,2023-11-20,324,12:00,04:08,22:21,0.0,16.9,75,31,32,7.8,Cloudy,No,Shady
Cafe Echo,No,Yes,49.397943,8.676349,South,2023-12-22,356,17:45,04:00,22:29,0.0,16.2,69,54,0,11.7,Clear,Yes,Sunny
Cafe Zurich,No,Yes,49.403246,8.666725,East,2025-02-21,52,12:15,04:31,21:58,0.0,14.4,60,86,0,9.9,Fog,Yes,Sunny
Nook Coffee,No,No,49.40023,8.676835,South,2025-04-11,101,15:15,05:20,21:09,22.51,23.3,46,77,0,5.6,Clear,Yes,Sunny
Bay Beans,No,Yes,49.405901,8.671272,West,2023-11-28,332,17:45,04:04,22:25,0.0,17.9,48,97,0,9.3,Rain,Yes,Sunny
Bloom Espresso,No,Yes,49.404245,8.669763,North,2025-01-31,31,07:30,04:14,22:15,0.0,16.7,74,12,57,11.6,Cloudy,No,Sunny
The Bean Cafe,Yes,No,49.401629,8.673219,South,2023-08-23,235,07:45,05:28,21:01,10.62,14.0,78,35,16,2.4,Clear,No,Sunny
The Choco Cafe,No,No,49.400191,8.672419,West,2024-04-06,97,09:15,05:16,21:13,18.36,16.1,50,86,0,4.0,Clear,Yes,Sunny
Cocoa Espresso,Yes,No,49.397324,8.681768,West,2025-02-25,56,16:45,04:35,21:54,0.0,12.0,48,68,0,10.0,Clear,Yes,Sunny
Petal Brew House,No,No,49.404747,8.673694,South,2023-10-11,284,18:15,04:39,21:50,0.0,14.7,69,5,48,8.4,Clear,No,Shady
Amber Coffee,No,Yes,49.397445,8.673818,West,2025-04-26,116,08:30,05:34,20:55,26.14,25.6,74,61,0,10.2,Clear,Yes,Sunny
Zephyr Beans,Yes,Yes,49.398395,8.671762,North,2024-08-26,239,12:00,05:24,21:05,35.42,15.7,84,15,39,5.4,Clear,No,Sunny
Stone Brew House,No,Yes,49.397137,8.673028,West,2024-08-31,244,15:15,05:19,21:10,19.93,21.8,72,99,0,3.3,Clear,Yes,Sunny
Frame Coffee,No,Yes,49.396178,8.669842,North,2025-04-21,111,20:15,05:29,21:00,0.0,13.5,86,46,10,14.5,Fog,No,Shady
The Bay Cafe,Yes,No,49.4077,8.669476,South,2024-01-13,13,06:15,04:04,22:25,0.0,12.4,41,22,40,11.4,Clear,No,Sunny
Café Drift,No,Yes,49.400423,8.669012,West,2023-11-07,311,06:15,04:16,22:13,0.0,18.6,44,83,0,3.5,Rain,Yes,Sunny
Silk Espresso,Yes,Yes,49.401912,8.667567,West,2023-12-31,365,12:30,04:00,22:29,0.0,14.7,78,16,49,13.6,Rain,No,Shady
Chalet Coffee,Yes,No,49.394843,8.678081,South,2024-12-01,336,08:45,04:03,22:26,0.0,8.4,83,3,47,14.8,Fog,No,Shady
Café Barn,No,No,49.395202,8.667899,East,2024-05-06,127,06:15,05:42,20:47,0.0,10.6,54,64,3,11.8,Fog,Yes,Shady
The Nook Cafe,Yes,No,49.395223,8.675414,South,2025-05-17,137,11:30,05:49,20:40,72.26,14.3,70,89,0,13.6,Clear,Yes,Shady
Café Deer,No,No,49.400776,8.678832,North,2024-04-17,108,16:15,05:27,21:02,20.86,15.4,53,52,9,10.8,Clear,Yes,Sunny
Deer Brew House,Yes,Yes,49.390264,8.680764,North,2024-01-31,31,15:45,04:14,22:15,0.0,10.8,64,56,0,14.8,Clear,Yes,Shady
Cafe de Choco,No,Yes,49.398927,8.668626,East,2023-11-12,316,16:15,04:12,22:17,0.0,20.8,80,25,28,7.6,Clear,No,Sunny
Cafe de Stone,No,No,49.406628,8.669749,North,2023-10-14,287,16:30,04:36,21:53,0.0,8.8,44,74,0,3.7,Clear,Yes,Sunny
Cafe de Haze,No,No,49.404238,8.670122,North,2023-05-31,151,15:15,05:56,20:33,59.81,24.4,64,68,0,13.9,Clear,Yes,Shady
The Cocoa Cafe,Yes,No,49.391392,8.678159,West,2025-04-12,102,06:00,05:21,21:08,0.0,12.0,50,16,38,12.8,Clear,No,Sunny
Hearth Café,Yes,No,49.401277,8.67209,North,2024-06-18,170,17:00,05:59,20:30,23.29,16.5,82,96,0,6.2,Clear,Yes,Sunny
Cafe Moon,Yes,No,49.401954,8.671437,South,2024-11-16,321,16:15,04:09,22:20,0.0,8.5,53,65,2,5.0,Cloudy,Yes,Shady
Petal Roasters,No,Yes,49.390782,8.679562,North,2024-06-10,162,12:00,05:59,20:30,88.86,23.0,83,84,0,1.9,Clear,Yes,Shady
Borough Café,No,No,49.402779,8.679948,East,2023-08-30,242,06:30,05:21,21:08,0.0,15.0,89,47,13,13.3,Fog,No,Sunny
Barn Brew House,No,Yes,49.401909,8.669828,North,2024-06-15,167,15:15,05:59,20:30,63.47,23.0,44,89,0,11.9,Cloudy,Yes,Sunny
Cafe de Amber,Yes,No,49.391773,8.674845,North,2023-07-12,193,07:45,05:56,20:33,21.68,14.0,43,52,0,2.3,Rain,Yes,Sunny
Stream Coffee,Yes,Yes,49.395852,8.671936,West,2023-12-23,357,07:45,04:00,22:29,0.0,11.0,47,67,0,9.3,Clear,Yes,Sunny
